iter	Passed	Remaining
1199	1708	1139
1200	1709	1137
1201	1710	1135
1202	1712	1134
1203	1713	1132
1204	1714	1131
1205	1715	1129
1206	1716	1128
1207	1718	1126
1208	1719	1125
1209	1721	1123
1210	1722	1122
1211	1724	1120
1212	1725	1119
1213	1726	1117
1214	1727	1116
1215	1728	1114
1216	1730	1113
1217	1731	1111
1218	1732	1109
1219	1733	1108
1220	1735	1107
1221	1736	1105
1222	1737	1104
1223	1738	1102
1224	1740	1100
1225	1741	1099
1226	1742	1097
1227	1743	1096
1228	1744	1094
1229	1745	1092
1230	1746	1091
1231	1748	1089
1232	1749	1088
1233	1751	1086
1234	1752	1085
1235	1753	1083
1236	1754	1082
1237	1755	1080
1238	1756	1079
1239	1758	1077
1240	1759	1076
1241	1760	1074
1242	1761	1072
1243	1763	1071
1244	1764	1069
1245	1765	1068
1246	1767	1067
1247	1768	1065
1248	1769	1064
1249	1770	1062
1250	1772	1061
1251	1773	1059
1252	1774	1058
1253	1776	1056
1254	1778	1055
1255	1779	1054
1256	1780	1052
1257	1782	1051
1258	1783	1049
1259	1785	1048
1260	1786	1047
1261	1788	1045
1262	1789	1044
1263	1791	1042
1264	1792	1041
1265	1794	1040
1266	1795	1038
1267	1797	1037
1268	1798	1035
1269	1799	1034
1270	1800	1032
1271	1801	1031
1272	1803	1029
1273	1805	1028
1274	1807	1027
1275	1808	1026
1276	1810	1025
1277	1811	1023
1278	1813	1022
1279	1814	1020
1280	1815	1019
1281	1817	1017
1282	1819	1016
1283	1820	1015
1284	1821	1013
1285	1823	1012
1286	1824	1010
1287	1825	1009
1288	1827	1007
1289	1828	1006
1290	1829	1004
1291	1830	1003
1292	1832	1001
1293	1833	1000
1294	1835	999
1295	1836	997
1296	1837	996
1297	1839	994
1298	1840	993
1299	1841	991
1300	1843	990
1301	1844	988
1302	1846	987
1303	1847	986
1304	1848	984
1305	1850	983
1306	1851	981
1307	1852	979
1308	1853	978
1309	1854	976
1310	1855	975
1311	1857	973
1312	1858	972
1313	1859	970
1314	1861	969
1315	1862	968
1316	1864	966
1317	1865	965
1318	1866	963
1319	1868	962
1320	1869	960
1321	1870	959
1322	1872	958
1323	1873	956
1324	1875	955
1325	1876	953
1326	1877	952
1327	1879	950
1328	1880	949
1329	1881	948
1330	1883	946
1331	1884	945
1332	1886	943
1333	1887	942
1334	1888	940
1335	1890	939
1336	1891	937
1337	1892	936
1338	1894	935
1339	1895	933
1340	1896	932
1341	1898	930
1342	1899	929
1343	1901	927
1344	1902	926
1345	1904	925
1346	1905	923
1347	1907	922
1348	1908	920
1349	1909	919
1350	1910	917
1351	1911	916
1352	1912	914
1353	1913	913
1354	1914	911
1355	1916	910
1356	1917	908
1357	1919	907
1358	1920	905
1359	1922	904
1360	1923	903
1361	1924	901
1362	1926	900
1363	1927	898
1364	1929	897
1365	1930	896
1366	1932	894
1367	1933	893
1368	1934	891
1369	1935	890
1370	1937	888
1371	1938	887
1372	1939	885
1373	1940	884
1374	1941	882
1375	1943	881
1376	1944	879
1377	1946	878
1378	1947	877
1379	1948	875
1380	1950	874
1381	1951	872
1382	1952	871
1383	1953	869
1384	1955	868
1385	1956	866
1386	1957	865
1387	1959	863
1388	1960	862
1389	1962	861
1390	1963	859
1391	1964	858
1392	1966	856
1393	1967	855
1394	1968	853
1395	1969	852
1396	1971	851
1397	1973	849
1398	1975	848
1399	1976	847
1400	1978	845
1401	1979	844
1402	1980	842
1403	1982	841
1404	1983	839
1405	1984	838
1406	1986	837
1407	1987	835
1408	1988	834
1409	1990	832
1410	1992	831
1411	1994	830
1412	1995	829
1413	1997	827
1414	1998	826
1415	2000	825
1416	2001	823
1417	2003	822
1418	2004	820
1419	2005	819
1420	2007	817
1421	2008	816
1422	2009	814
1423	2010	813
1424	2012	811
1425	2014	810
1426	2015	809
1427	2017	807
1428	2018	806
1429	2019	805
1430	2021	803
1431	2022	802
1432	2023	800
1433	2025	799
1434	2026	797
1435	2027	796
1436	2029	795
1437	2030	793
1438	2032	792
1439	2033	790
1440	2034	789
1441	2035	787
1442	2036	786
1443	2037	784
1444	2039	783
1445	2040	781
1446	2041	780
1447	2043	778
1448	2044	777
1449	2045	775
1450	2046	774
1451	2047	772
1452	2048	771
1453	2049	769
1454	2050	768
1455	2052	766
1456	2053	765
1457	2054	763
1458	2056	762
1459	2057	761
1460	2058	759
1461	2060	758
1462	2061	756
1463	2062	755
1464	2063	753
1465	2065	752
1466	2066	750
1467	2067	749
1468	2068	747
1469	2070	746
1470	2071	744
1471	2072	743
1472	2073	741
1473	2075	740
1474	2076	739
1475	2078	737
1476	2079	736
1477	2080	734
1478	2081	733
1479	2083	731
1480	2084	730
1481	2086	729
1482	2087	727
1483	2088	726
1484	2089	724
1485	2091	723
1486	2092	721
1487	2093	720
1488	2094	718
1489	2095	717
1490	2096	715
1491	2098	714
1492	2100	713
1493	2101	711
1494	2102	710
1495	2103	708
1496	2104	707
1497	2106	705
1498	2107	704
